pset_name,property_name,ifc_value_type,definition,applicable_entities
Pset_ConcretePerformancePassport,PredictedCompressiveStrength,IfcPressureMeasure,ML-predicted 28-day (or age) compressive strength,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,PredictionUncertainty,IfcPressureMeasure,Prediction uncertainty (1 standard deviation),"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,RiskClass,IfcLabel,Low / Medium / High,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,QADecision,IfcLabel,Accept / Review / Hold-Retest / Missing-Insufficient,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,PredictionExplanation,IfcText,"Top contributing features (e.g., SHAP)","IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,ModelReference,IfcLabel,Model name/version + dataset reference,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,WaterBinderRatio,IfcRatioMeasure,Water-to-binder ratio,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,AgeAtAssessment,IfcTimeMeasure,Concrete age at prediction/test (days),"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,GWP_A1A3,IfcMassMeasure,Cradle-to-gate embodied carbon (kg CO2e per m3),"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,CarbonClass,IfcLabel,Low / Typical / High,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,EPDBenchmarkPercentile,IfcRatioMeasure,Percentile vs EPD benchmark within strength class,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,EvidenceLevel,IfcLabel,Evidence level A/B/C/D of the decision value,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,DataSourceType,IfcLabel,measured / predicted / EPD_benchmark / derived / illustrative / missing,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,ReadinessScore,IfcRatioMeasure,Passport completeness score (0-100),"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,PredictionIntervalLower,IfcPressureMeasure,Approx. 95% prediction-interval lower bound,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,PredictionIntervalUpper,IfcPressureMeasure,Approx. 95% prediction-interval upper bound,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,DurabilityStatus,IfcLabel,modeled / available / missing / future extension,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,DecisionSupportLevel,IfcLabel,descriptive / predictive / prescriptive-lite,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
Pset_ConcretePerformancePassport,PassportSchemaVersion,IfcLabel,Concrete Performance Passport schema version,"IfcBeam, IfcColumn, IfcSlab, IfcWall, IfcFooting, IfcPile (concrete)"
